start_ver,end_ver,distance,lambda,original_num,original_days,num,days,P_w,l_w,e_w,matching_probability,aver_final_distance,aver_shared_distance,P_w_err,l_w_err,e_w_err,P_w_err_ratio,e_w_err_ratio,l_w_err_ratio
48,97,2559.241227,0.006176471,126,38,66,32,0.868157092,2885.292588,1522.549202,0.910416667,2710.78551,1881.880375,0.042259575,174.5070778,359.3311732,0.046417839,0.190942622,0.064375096
393,11,2753.318488,0.0025,51,29,23,18,0.547375446,3028.362684,1196.974304,0.694444444,2987.801111,1691.430833,0.147068998,40.56157254,494.4565291,0.211779357,0.292330327,0.013575727
80,380,1274.8551,0.038627451,788,39,393,39,0.921631559,1365.038447,1040.408082,0.93612953,1348.831047,1084.684123,0.014497971,16.20740008,44.27604159,0.015487142,0.040819295,0.012015886
314,80,3091.574096,0.019068627,389,39,191,37,0.988603045,3454.694311,2541.60628,0.994594595,3399.522185,2687.844625,0.00599155,55.17212569,146.2383456,0.006024113,0.054407291,0.016229377
10,224,1143.894272,0.014019608,286,39,140,38,0.904846153,1295.448122,1042.371302,0.940665767,1314.577792,1120.171608,0.035819614,19.12966991,77.80030613,0.038079002,0.069453917,0.01455195
596,529,2807.732827,0.006813725,139,38,77,33,0.396400758,2887.382175,795.4188019,0.495454545,2999.055101,826.1906313,0.099053788,111.6729259,30.77182937,0.199925076,0.037245435,0.037236037
335,393,2983.449492,0.016127451,329,39,159,37,0.845415636,3230.730495,1976.94028,0.908848134,3202.508643,2139.702621,0.063432497,28.22185227,162.7623412,0.069794386,0.076067739,0.00881242
310,314,1921.679128,0.014166667,289,39,146,39,0.936235939,2247.330922,1305.355269,0.982051282,2205.390328,1420.675511,0.045815343,41.94059456,115.3202421,0.046652699,0.081172823,0.019017311
77,84,2332.569944,0.024362745,497,39,238,39,0.732138298,2626.661087,1256.120607,0.745421245,2649.697674,1270.938817,0.013282948,23.03658669,14.81820952,0.017819385,0.011659263,0.008694043
68,196,1790.659926,0.005196078,106,36,56,28,0.787325872,1945.482401,740.4716211,0.80952381,1996.551643,878.2797738,0.022197938,51.06924217,137.8081528,0.027420982,0.156906896,0.025578723
11,353,2416.167195,0.003235294,66,34,31,23,0.843338667,2545.695718,1611.713953,0.945652174,2505.676522,1800.205435,0.102313507,40.01919587,188.4914816,0.108193593,0.10470554,0.015971414
77,105,2407.893186,0.026470588,540,39,278,39,0.701260002,2668.779785,1004.710295,0.765606616,2689.19481,1118.831012,0.064346613,20.41502459,114.1207179,0.084046574,0.101999959,0.007591501
586,614,3262.351449,0.001029412,21,17,8,6,0.622164234,3529.681266,939.5298488,0.833333333,3498.625,1458.774167,0.2111691,31.05626605,519.2443179,0.253402919,0.355945649,0.008876706
354,439,1380.186758,0.001764706,36,24,17,14,0.961068708,1476.49781,1011.615974,0.928571429,1491.290952,1000.723452,0.032497279,14.7931426,10.89252138,0.03499707,0.010884647,0.009919689
404,107,1130.258714,0.000882353,18,16,9,8,0.486149127,1313.327799,488.6402927,0.625,1416.89125,587.24375,0.138850873,103.5634505,98.60345729,0.222161397,0.167908909,0.073092025
596,243,2466.51669,0.006421569,131,37,65,36,0.704949857,2707.913894,1285.960326,0.810185185,2599.996157,1558.418241,0.105235329,107.9177371,272.4579151,0.129890463,0.174829778,0.041506883
145,31,2635.478217,0.003235294,66,28,31,17,0.674559877,2811.561846,1311.043471,0.911764706,2850.058971,1969.92652,0.237204829,38.49712436,658.8830486,0.260160135,0.334470876,0.013507483
224,498,3315.017552,0.012156863,248,39,115,37,0.813470764,3640.178395,1835.265602,0.81036036,3572.59309,1791.363743,0.003110404,67.58530514,43.90185895,0.003838297,0.024507507,0.018917717
4,311,3826.94552,0.001078431,22,16,11,9,0.937810057,3988.763205,1241.105191,1,3954.81,2000.111667,0.062189943,33.95320505,759.0064759,0.062189943,0.37948205,0.008585294
522,95,2287.137233,0.005196078,106,37,63,32,0.692601397,2455.666729,1269.622655,0.717708333,2439.88801,1334.065969,0.025106936,15.77871812,64.44331364,0.034982088,0.048305942,0.006466985
582,95,2130.179182,0.009656863,197,39,102,35,0.980542385,2283.437372,1618.551759,0.994285714,2224.740633,1654.068933,0.01374333,58.69673856,35.51717387,0.013822314,0.021472608,0.026383632
236,514,4167.107398,0.009754902,199,39,108,38,0.586036875,4509.535509,1328.280442,0.713972431,4503.219992,1802.999455,0.127935556,6.31551611,474.7190129,0.17918837,0.263294041,0.001402444
582,482,1961.726056,0.001127451,23,17,13,9,0.634973377,2208.534536,1070.38618,0.777777778,2081.481111,1265.276111,0.1428044,127.0534245,194.8899308,0.183605658,0.154029566,0.061039912
328,397,3486.877704,0.00622549,127,37,58,28,0.589370335,3748.248615,1266.945952,0.783333333,3949.46931,1762.625958,0.193962999,201.2206944,495.680006,0.247612339,0.281216785,0.050948793
310,535,2250.690661,0.001421569,29,20,17,12,0.955947295,2539.861824,1628.188059,1,2540.844167,1815.206667,0.044052705,0.982342396,187.0186074,0.044052705,0.103028824,0.00038662
609,117,3078.363944,0.002107843,43,24,23,17,0.671155348,3344.896128,1350.552876,0.696078431,3288.201176,1347.835588,0.024923084,56.69495122,2.717288113,0.035804994,0.002016038,0.017241935
2,632,2863.27606,0.001470588,30,24,14,13,0.484095955,3268.950671,793.9502406,0.423076923,3206.616923,637.7465385,0.061019032,62.33374821,156.2037021,0.144226803,0.244930694,0.0194391
558,130,1647.8546,0.002156863,44,24,21,14,0.77816364,1725.592718,1022.528878,0.880952381,1687.318571,1063.924048,0.102788741,38.27414622,41.3951692,0.116679111,0.038908012,0.022683414
314,479,1193.111146,0.010882353,222,39,109,36,0.983701584,1334.568654,1014.943477,0.994444444,1261.862917,1079.875856,0.01074286,72.70573694,64.93237905,0.010802876,0.060129485,0.057617778
15,473,3046.877843,0.005490196,112,37,56,31,0.697625912,3326.96295,1409.420648,0.761827957,3409.157763,1453.670796,0.064202045,82.19481304,44.25014782,0.084273679,0.030440281,0.024110006
663,379,3590.055493,0.006666667,136,39,67,32,0.844647282,3945.92083,1849.540281,0.885416667,3857.359917,1926.080849,0.040769385,88.56091355,76.54056834,0.046045423,0.039739022,0.022958945
473,632,3079.997143,0.003480392,71,31,42,24,0.599434509,3489.382562,1224.638344,0.694444444,3510.508403,1492.715486,0.095009936,21.12584094,268.0771419,0.136814307,0.179590246,0.006017886
124,31,2866.005004,0.001911765,39,22,23,19,0.522604131,3057.445224,911.4912518,0.710526316,3161.590789,1247.184737,0.187922185,104.1455655,335.6934851,0.264483075,0.269160995,0.032940875
77,596,2566.942884,0.013921569,284,39,148,36,0.725958117,2853.374251,1265.431939,0.698688272,2863.811068,1273.700435,0.027269846,10.4368169,8.26849582,0.039030061,0.006491712,0.00364438
34,14,2661.375039,0.002843137,58,29,28,19,0.466658,2877.111569,812.1493604,0.5,2867.032807,948.6297368,0.033342,10.07876208,136.4803764,0.066683999,0.143871071,0.003515398
68,10,4697.962848,0.00877451,179,38,92,32,0.928256287,4924.829754,3597.25726,0.989583333,4934.40965,4107.862541,0.061327047,9.57989607,510.6052811,0.061972595,0.124299505,0.001941447
27,307,3776.618763,0.014215686,290,39,159,39,0.974515589,3990.238324,3055.893619,0.983516484,3993.007534,3209.619625,0.009000894,2.769209892,153.7260059,0.009151747,0.047895397,0.000693515
123,380,3460.354421,0.011813725,241,39,102,36,0.89325904,3872.169984,2169.27467,0.881712963,3852.616859,2188.703748,0.011546077,19.55312474,19.42907756,0.013095052,0.008876979,0.005075284
380,609,3153.59224,0.011813725,241,39,122,38,0.682554509,3494.07305,1174.950679,0.838011696,3591.965085,1471.837202,0.155457187,97.89203431,296.8865229,0.185507181,0.201711523,0.027253058
130,302,3480.650911,0.005539216,113,36,56,31,0.853880052,3782.271674,2008.758578,0.88172043,3787.204677,2242.14671,0.027840379,4.93300385,233.3881315,0.031575063,0.104091374,0.001302545
673,443,4967.893283,0.001372549,28,17,12,10,0.529872336,5264.881576,1134.47918,0.45,5242.647,1481.8695,0.079872336,22.23457619,347.3903203,0.177494081,0.234427067,0.004241097
25,280,2591.150232,0.003921569,80,32,38,22,0.590236475,2609.891405,876.0853512,0.742424242,2693.221894,1056.500492,0.152187768,83.33048891,180.4151412,0.204987606,0.170766737,0.030940818
