id,start_ver,end_ver,num,days,lambda,total_num,CDF
4672,302,347,68,31,0.003333333,532828,0.600979021
4022,596,385,68,31,0.003333333,532896,0.601055718
3819,535,311,67,31,0.003284314,532963,0.601131288
2342,16,48,67,31,0.003284314,533030,0.601206858
2987,532,497,67,31,0.003284314,533097,0.601282427
3379,313,479,67,31,0.003284314,533164,0.601357997
2941,196,32,67,31,0.003284314,533231,0.601433566
4767,68,280,67,31,0.003284314,533298,0.601509136
4385,105,482,67,31,0.003284314,533365,0.601584706
3720,25,243,67,31,0.003284314,533432,0.601660275
4494,236,404,67,31,0.003284314,533499,0.601735845
5041,16,242,67,31,0.003284314,533566,0.601811414
4387,479,15,66,31,0.003235294,533632,0.601885856
3316,48,354,66,31,0.003235294,533698,0.601960298
2677,302,131,66,31,0.003235294,533764,0.602034739
2854,295,230,66,31,0.003235294,533830,0.602109181
3935,588,204,66,31,0.003235294,533896,0.602183623
4945,514,443,65,31,0.003186275,533961,0.602256937
3904,6,219,65,31,0.003186275,534026,0.60233025
4674,131,145,65,31,0.003186275,534091,0.602403564
2134,582,497,65,31,0.003186275,534156,0.602476878
4094,443,243,65,31,0.003186275,534221,0.602550192
3784,123,348,65,31,0.003186275,534286,0.602623506
5070,354,558,65,31,0.003186275,534351,0.602696819
2360,313,535,65,31,0.003186275,534416,0.602770133
2661,295,380,65,31,0.003186275,534481,0.602843447
4258,414,397,65,31,0.003186275,534546,0.602916761
6904,68,517,65,31,0.003186275,534611,0.602990074
4981,48,588,65,31,0.003186275,534676,0.603063388
3380,131,302,65,31,0.003186275,534741,0.603136702
4580,10,250,65,31,0.003186275,534806,0.603210016
4151,311,501,64,31,0.003137255,534870,0.603282202
4138,314,294,64,31,0.003137255,534934,0.603354388
3867,80,265,64,31,0.003137255,534998,0.603426573
4063,250,379,64,31,0.003137255,535062,0.603498759
4172,632,68,64,31,0.003137255,535126,0.603570945
3855,3,558,64,31,0.003137255,535190,0.603643131
4663,328,230,64,31,0.003137255,535254,0.603715317
3808,224,475,64,31,0.003137255,535318,0.603787503
3343,398,84,64,31,0.003137255,535382,0.603859689
3374,107,32,64,31,0.003137255,535446,0.603931875
3418,16,6,64,31,0.003137255,535510,0.60400406
3180,475,16,64,31,0.003137255,535574,0.604076246
2488,596,230,64,31,0.003137255,535638,0.604148432
3009,123,11,64,31,0.003137255,535702,0.604220618
2830,663,353,64,31,0.003137255,535766,0.604292804
3852,397,655,63,31,0.003088235,535829,0.604363862
4604,236,471,63,31,0.003088235,535892,0.60443492
2660,393,311,63,31,0.003088235,535955,0.604505978
5097,348,614,63,31,0.003088235,536018,0.604577036
3251,16,532,63,31,0.003088235,536081,0.604648094
1869,302,311,63,31,0.003088235,536144,0.604719152
2947,398,354,63,31,0.003088235,536207,0.60479021
4249,1,347,63,31,0.003088235,536270,0.604861268
6551,663,427,63,31,0.003088235,536333,0.604932326
4304,2,31,63,31,0.003088235,536396,0.605003384
4104,196,204,63,31,0.003088235,536459,0.605074442
3558,274,443,63,31,0.003088235,536522,0.6051455
5037,68,543,62,31,0.003039216,536584,0.60521543
5683,528,310,62,31,0.003039216,536646,0.60528536
2713,311,26,62,31,0.003039216,536708,0.60535529
2778,10,158,62,31,0.003039216,536770,0.60542522
2544,302,48,62,31,0.003039216,536832,0.60549515
2817,475,123,62,31,0.003039216,536894,0.60556508
4084,353,398,62,31,0.003039216,536956,0.60563501
4297,30,204,62,31,0.003039216,537018,0.60570494
5708,34,347,62,31,0.003039216,537080,0.60577487
5195,131,471,62,31,0.003039216,537142,0.6058448
5282,123,54,62,31,0.003039216,537204,0.60591473
3825,243,397,61,31,0.002990196,537265,0.605983533
3085,10,15,61,31,0.002990196,537326,0.606052335
4400,335,605,61,31,0.002990196,537387,0.606121137
3235,558,48,61,31,0.002990196,537448,0.606189939
3266,50,335,61,31,0.002990196,537509,0.606258741
2573,674,32,61,31,0.002990196,537570,0.606327543
3364,558,663,61,31,0.002990196,537631,0.606396346
3905,582,117,61,31,0.002990196,537692,0.606465148
4420,586,310,61,31,0.002990196,537753,0.60653395
2000,443,158,61,31,0.002990196,537814,0.606602752
