id,start_ver,end_ver,num,days,lambda,total_num,CDF
97,335,331,469,39,0.022990196,78205,0.08820776
138,27,394,462,39,0.022647059,78667,0.088728852
195,27,107,456,39,0.022352941,79123,0.089243176
199,27,48,453,39,0.022205882,79576,0.089754117
80,77,582,452,39,0.022156863,80028,0.09026393
187,27,393,450,39,0.022058824,80478,0.090771487
234,27,50,449,39,0.022009804,80927,0.091277916
120,380,105,448,39,0.021960784,81375,0.091783217
334,535,380,448,39,0.021960784,81823,0.092288518
115,105,302,447,39,0.021911765,82270,0.092792691
160,80,224,446,39,0.021862745,82716,0.093295737
142,27,145,445,39,0.021813725,83161,0.093797654
155,27,170,445,39,0.021813725,83606,0.094299571
301,80,10,443,39,0.021715686,84049,0.094799233
198,68,105,442,39,0.021666667,84491,0.095297767
210,68,32,438,39,0.021470588,84929,0.095791789
207,27,243,438,38,0.021470588,85367,0.096285811
77,77,353,437,39,0.021421569,85804,0.096778705
109,105,230,436,39,0.021372549,86240,0.097270471
196,335,379,435,39,0.021323529,86675,0.09776111
125,313,27,430,39,0.021078431,87105,0.098246109
90,280,27,430,39,0.021078431,87535,0.098731108
119,310,27,429,39,0.021029412,87964,0.099214979
249,314,48,428,39,0.020980392,88392,0.099697722
171,314,31,428,39,0.020980392,88820,0.100180465
128,335,16,428,39,0.020980392,89248,0.100663208
162,335,230,427,39,0.020931373,89675,0.101144823
113,107,27,427,39,0.020931373,90102,0.101626438
178,27,25,426,39,0.020882353,90528,0.102106925
179,335,10,425,39,0.020833333,90953,0.102586285
229,27,663,424,39,0.020784314,91377,0.103064516
140,105,331,423,39,0.020735294,91800,0.10354162
144,335,473,422,39,0.020686275,92222,0.104017595
146,314,379,422,39,0.020686275,92644,0.104493571
150,314,68,420,39,0.020588235,93064,0.104967291
228,473,230,420,39,0.020588235,93484,0.105441011
137,335,9,419,39,0.020539216,93903,0.105913603
167,27,586,417,39,0.020441176,94320,0.106383939
185,27,15,417,39,0.020441176,94737,0.106854275
260,27,295,416,39,0.020392157,95153,0.107323483
166,314,367,414,39,0.020294118,95567,0.107790435
107,314,6,412,39,0.020196078,95979,0.108255132
224,27,6,411,39,0.020147059,96390,0.108718701
93,582,105,410,39,0.020098039,96800,0.109181141
389,335,347,407,39,0.01995098,97207,0.109640199
50,335,80,405,39,0.019852941,97612,0.110097
212,105,33,404,39,0.019803922,98016,0.110552673
158,105,10,403,39,0.019754902,98419,0.111007219
253,130,27,403,39,0.019754902,98822,0.111461764
192,236,380,402,39,0.019705882,99224,0.111915182
98,26,27,401,39,0.019656863,99625,0.112367471
121,353,27,399,39,0.019558824,100024,0.112817505
176,314,475,398,39,0.019509804,100422,0.113266411
257,27,313,395,39,0.019362745,100817,0.113711933
263,314,230,394,39,0.019313725,101211,0.114156328
226,314,97,393,39,0.019264706,101604,0.114599594
223,314,558,389,39,0.019068627,101993,0.115038349
44,314,80,389,39,0.019068627,102382,0.115477104
388,230,582,389,39,0.019068627,102771,0.115915858
219,27,532,388,39,0.019019608,103159,0.116353485
135,16,27,388,38,0.019019608,103547,0.116791112
193,311,224,386,39,0.018921569,103933,0.117226483
299,68,310,386,39,0.018921569,104319,0.117661854
352,27,497,384,39,0.018823529,104703,0.11809497
148,105,397,384,39,0.018823529,105087,0.118528085
216,27,596,384,39,0.018823529,105471,0.1189612
215,588,27,384,39,0.018823529,105855,0.119394315
201,331,380,382,39,0.01872549,106237,0.119825175
350,380,10,380,39,0.018627451,106617,0.120253778
230,80,27,376,39,0.018431373,106993,0.120677871
114,9,314,376,39,0.018431373,107369,0.121101963
116,105,354,375,39,0.018382353,107744,0.121524927
220,473,310,375,39,0.018382353,108119,0.121947891
238,27,588,374,39,0.018333333,108493,0.122369727
132,27,77,374,39,0.018333333,108867,0.122791563
246,27,236,374,39,0.018333333,109241,0.1232134
323,27,535,374,39,0.018333333,109615,0.123635236
492,348,473,374,39,0.018333333,109989,0.124057072
131,380,314,373,39,0.018284314,110362,0.12447778
147,77,310,372,39,0.018235294,110734,0.124897361
181,105,219,371,39,0.018186275,111105,0.125315813
322,27,562,370,39,0.018137255,111475,0.125733138
305,27,609,369,39,0.018088235,111844,0.126149335
244,380,224,368,39,0.018039216,112212,0.126564403
157,596,27,368,39,0.018039216,112580,0.126979472
191,77,230,367,39,0.017990196,112947,0.127393413
123,582,380,366,39,0.017941176,113313,0.127806226
188,473,380,365,39,0.017892157,113678,0.128217911
209,335,397,365,39,0.017892157,114043,0.128629596
141,582,224,364,39,0.017843137,114407,0.129040153
149,311,380,364,39,0.017843137,114771,0.129450711
153,473,48,363,39,0.017794118,115134,0.12986014
276,380,379,362,39,0.017745098,115496,0.130268441
151,311,582,362,39,0.017745098,115858,0.130676743
205,68,314,360,39,0.017647059,116218,0.131082788
252,224,380,359,39,0.017598039,116577,0.131487706
294,230,380,356,39,0.01745098,116933,0.13188924
358,479,314,355,39,0.017401961,117288,0.132289646
152,532,27,355,39,0.017401961,117643,0.132690052
384,27,250,353,39,0.017303922,117996,0.133088202
164,105,32,353,39,0.017303922,118349,0.133486352
310,27,11,352,39,0.017254902,118701,0.133883375
170,473,588,352,39,0.017254902,119053,0.134280397
161,473,302,351,39,0.017205882,119404,0.134676291
314,582,471,350,39,0.017156863,119754,0.135071058
130,522,27,350,39,0.017156863,120104,0.135465824
376,27,463,350,39,0.017156863,120454,0.135860591
311,230,473,350,39,0.017156863,120804,0.136255358
197,77,9,350,39,0.017156863,121154,0.136650124
163,313,105,348,39,0.017058824,121502,0.137042635
335,27,674,348,39,0.017058824,121850,0.137435145
293,27,141,348,39,0.017058824,122198,0.137827656
213,335,123,347,39,0.017009804,122545,0.138219039
225,105,9,345,39,0.016911765,122890,0.138608166
295,314,3,345,39,0.016911765,123235,0.138997293
145,105,123,344,39,0.016862745,123579,0.139385292
282,10,380,344,39,0.016862745,123923,0.139773291
380,380,367,344,39,0.016862745,124267,0.14016129
232,27,84,344,39,0.016862745,124611,0.140549289
348,107,380,343,39,0.016813725,124954,0.140936161
222,314,348,343,39,0.016813725,125297,0.141323032
313,230,105,343,39,0.016813725,125640,0.141709903
211,77,394,343,39,0.016813725,125983,0.142096774
194,380,582,342,39,0.016764706,126325,0.142482517
143,77,10,341,39,0.016715686,126666,0.142867133
108,311,314,341,39,0.016715686,127007,0.143251748
189,314,354,340,39,0.016666667,127347,0.143635236
912,80,528,338,39,0.016568627,127685,0.144016467
387,353,655,338,39,0.016568627,128023,0.144397699
203,77,473,337,39,0.016519608,128360,0.144777803
251,663,27,336,38,0.016470588,128696,0.145156779
262,27,265,335,39,0.016421569,129031,0.145534627
184,105,353,335,39,0.016421569,129366,0.145912475
136,380,80,334,39,0.016372549,129700,0.146289195
250,479,473,334,39,0.016372549,130034,0.146665915
316,236,105,333,39,0.016323529,130367,0.147041507
235,105,77,333,39,0.016323529,130700,0.147417099
259,558,27,333,39,0.016323529,131033,0.147792691
218,313,582,332,39,0.01627451,131365,0.148167155
363,68,582,331,39,0.01622549,131696,0.148540492
269,105,311,331,39,0.01622549,132027,0.148913828
290,311,473,330,39,0.016176471,132357,0.149286037
277,335,393,329,39,0.016127451,132686,0.149657117
390,27,614,326,39,0.015980392,133012,0.150024814
383,230,314,326,38,0.015980392,133338,0.150392511
254,314,295,325,39,0.015931373,133663,0.15075908
355,27,14,325,39,0.015931373,133988,0.151125649
270,314,663,325,39,0.015931373,134313,0.151492217
247,105,68,324,39,0.015882353,134637,0.151857658
173,9,380,324,39,0.015882353,134961,0.152223099
447,3,473,323,39,0.015833333,135284,0.152587413
381,27,689,323,39,0.015833333,135607,0.152951726
329,27,3,323,38,0.015833333,135930,0.153316039
292,380,16,323,38,0.015833333,136253,0.153680352
1106,80,613,321,39,0.015735294,136574,0.154042409
365,335,353,321,39,0.015735294,136895,0.154404467
240,473,224,321,39,0.015735294,137216,0.154766524
437,473,31,320,39,0.015686275,137536,0.155127453
296,314,219,319,39,0.015637255,137855,0.155487255
377,380,310,319,39,0.015637255,138174,0.155847056
400,588,471,318,39,0.015588235,138492,0.15620573
236,335,302,318,39,0.015588235,138810,0.156564403
328,77,609,318,39,0.015588235,139128,0.156923077
273,473,313,317,39,0.015539216,139445,0.157280623
175,77,397,315,39,0.015441176,139760,0.157635912
133,33,27,314,39,0.015392157,140074,0.157990074
526,48,27,314,39,0.015392157,140388,0.158344236
336,331,310,314,39,0.015392157,140702,0.158698398
264,105,379,313,39,0.015343137,141015,0.159051432
312,314,397,312,39,0.015294118,141327,0.159403339
340,105,131,312,39,0.015294118,141639,0.159755245
342,479,582,312,39,0.015294118,141951,0.160107151
261,582,302,312,39,0.015294118,142263,0.160459057
221,77,367,311,39,0.015245098,142574,0.160809835
425,380,311,309,39,0.015147059,142883,0.161158358
156,105,393,308,39,0.015098039,143191,0.161505752
242,224,314,307,39,0.01504902,143498,0.161852019
339,380,84,306,39,0.015,143804,0.162197158
401,380,331,306,39,0.015,144110,0.162542296
416,27,514,305,39,0.01495098,144415,0.162886307
341,335,522,305,39,0.01495098,144720,0.163230318
186,331,582,305,39,0.01495098,145025,0.163574329
237,105,522,305,39,0.01495098,145330,0.16391834
435,27,97,305,39,0.01495098,145635,0.164262351
208,9,224,305,39,0.01495098,145940,0.164606361
200,77,219,304,39,0.014901961,146244,0.164949244
306,77,379,304,39,0.014901961,146548,0.165292127
154,331,314,303,39,0.014852941,146851,0.165633882
470,27,114,303,39,0.014852941,147154,0.165975637
204,77,335,303,39,0.014852941,147457,0.166317392
506,230,224,302,39,0.014803922,147759,0.166658019
118,522,314,302,39,0.014803922,148061,0.166998647
410,314,463,302,39,0.014803922,148363,0.167339274
233,443,27,302,39,0.014803922,148665,0.167679901
286,314,353,302,39,0.014803922,148967,0.168020528
372,314,347,301,39,0.014754902,149268,0.168360027
241,596,380,299,39,0.014656863,149567,0.16869727
284,313,224,297,39,0.014558824,149864,0.169032258
304,335,219,297,39,0.014558824,150161,0.169367246
433,335,33,297,39,0.014558824,150458,0.169702233
466,313,471,297,37,0.014558824,150755,0.170037221
214,473,105,296,39,0.014509804,151051,0.170371081
444,27,723,296,39,0.014509804,151347,0.17070494
268,123,27,296,39,0.014509804,151643,0.1710388
258,77,243,293,39,0.014362745,151936,0.171369276
487,522,473,293,39,0.014362745,152229,0.171699752
281,10,582,293,39,0.014362745,152522,0.172030228
302,84,380,292,39,0.014313725,152814,0.172359576
172,9,582,292,39,0.014313725,153106,0.172688924
330,311,367,292,39,0.014313725,153398,0.173018272
362,77,393,292,39,0.014313725,153690,0.17334762
657,68,230,291,39,0.014264706,153981,0.17367584
256,224,105,291,39,0.014264706,154272,0.17400406
485,27,307,290,39,0.014215686,154562,0.174331153
391,131,27,289,39,0.014166667,154851,0.174657117
274,310,314,289,39,0.014166667,155140,0.174983081
287,313,310,289,39,0.014166667,155429,0.175309046
418,313,302,289,39,0.014166667,155718,0.17563501
245,367,27,288,39,0.014117647,156006,0.175959847
608,27,130,288,39,0.014117647,156294,0.176284683
776,348,32,288,39,0.014117647,156582,0.17660952
338,335,588,288,39,0.014117647,156870,0.176934356
558,27,242,287,39,0.014068627,157157,0.177258065
266,522,582,287,39,0.014068627,157444,0.177581773
337,145,27,287,39,0.014068627,157731,0.177905482
279,77,443,286,39,0.014019608,158017,0.178228062
366,10,224,286,39,0.014019608,158303,0.178550643
265,335,32,286,39,0.014019608,158589,0.178873224
394,27,638,286,39,0.014019608,158875,0.179195804
375,105,313,284,39,0.013921569,159159,0.179516129
429,105,558,284,39,0.013921569,159443,0.179836454
458,27,164,284,39,0.013921569,159727,0.180156779
285,3,27,284,39,0.013921569,160011,0.180477104
298,582,10,284,39,0.013921569,160295,0.180797428
318,77,596,284,39,0.013921569,160579,0.181117753
272,224,582,284,38,0.013921569,160863,0.181438078
838,80,609,283,39,0.013872549,161146,0.181757275
541,80,331,283,39,0.013872549,161429,0.182076472
