,re_lam_s_d,ab_lam_s_d,re_lam_n_a,ab_lam_n_a,re_lam_s,ab_lam_s,re_P_s_1,ab_P_s_1,re_P_s_e,ab_P_s_e,re_P_n_0,ab_P_n_0
11,0.9382488380223926,0.008576158166878282,0.9382488380223926,0.0037899744645830333,0.40459738606305734,0.2997571743789782,0.314277188795096,0.08510758265570717,1.525235095713448,0.013117861020043982,0.5160422305535193,0.20691622990295855
12,2.1038471595054538,0.00844293662341205,2.1038471595054538,0.0031894632653366624,0.3456408732400765,0.1887282748874355,0.39252260681818774,0.11123769988793364,0.9382488380223926,0.011841722394998873,0.28541936844994825,0.1216210634110243
13,5.5380268742414085,0.006018552054647254,5.5380268742414085,0.001813503804341623,0.21351222169655745,0.1322722199869455,0.34554080832720524,0.06883758210228785,2.1038471595054538,0.013248111285776368,0.2087584767502606,0.09429581858540037
14,2.3214893808122303,0.0036673418847890174,2.3214893808122303,0.0014949388746180363,0.21851378812535155,0.15100182173853183,0.2134372121588538,0.04919178747705677,5.538026874241408,0.006606683120132198,0.20937198572061386,0.1142919242623055
15,1.050686845900283,0.00472590941721894,0.974946350385097,0.0014414505353297895,0.1752457464016416,0.08717120903660902,0.20934838658621208,0.0540229723392186,2.3214893808122303,0.005214334411944174,0.28656289423500236,0.09407501392639206
16,0.6332322452257836,0.002637208138279834,0.6332322452257836,0.00156205553604696,0.06872295834394745,0.054713700428486334,0.17518584793860634,0.040871839910484264,1.0781934448466632,0.007124837561633037,0.10256449131968,0.03938658907350501
17,0.5134057433522526,0.0015375498418891166,0.5134057433522526,0.0008479740404149123,0.10025990759184225,0.0736024612073436,0.06495700375856683,0.018035245436714642,0.6332322452257836,0.005605491792381442,0.1150518712464177,0.04884454337699429
18,0.32685065238261013,0.0022394358120014467,0.32685065238261013,0.0006606215812143094,0.14887625752348593,0.06800165399150071,0.09664873451453536,0.029208497639914843,0.5134057433522524,0.001579417805024394,0.14220545505323315,0.06503438675907658
19,0.7107389349425641,0.0023252945733693055,0.7107389349425641,0.0010881472417233924,0.02710180402467576,0.014631183902422684,0.14882481139041012,0.028502152893857047,0.3268506523826101,0.0038584587381821946,0.03512712682241028,0.015095711123267574
20,0.32850198084822496,0.0004251024732152544,0.32850198084822496,0.0004251024732152544,0.06234535299217465,0.04189836167711802,0.026445631248987207,0.006978254567597264,0.710738934942564,0.004027645453321176,0.0635666946104497,0.028168669233453292
21,0.17625679246995235,0.0014255806438764548,0.17625679246995235,0.00037865626170122645,0.08252229640487192,0.05691419292217326,0.059670338869185144,0.016429285628511092,0.328501980848225,0.0007388320470952444,0.10518762951060945,0.04613947055260992
22,0.29187715786713025,0.001979162924560844,0.29187715786713025,0.0007208683129915107,0.027848248727022046,0.015963603363097212,0.08106701768931117,0.02120363456306895,0.1918973492377898,0.0025837979189980848,0.03821022960906109,0.015015709106723119
23,0.39831915737048273,0.0006038251208069986,0.39831915737048273,0.0003344448765327723,0.0439458749464624,0.030037443437187727,0.027838909241011022,0.006687123834657083,0.2918771578671302,0.003002247647768977,0.04513579920911624,0.019654497346083932
24,0.11905911801113434,0.0010094077053050543,0.11905911801113434,0.000272403925757737,0.06765410244230886,0.04372439433911923,0.042169271309470346,0.010893410466566,0.3983191573704829,0.0011820971305848138,0.060425501606664975,0.029635998145775888
25,0.28410005029497865,0.0014724334789544373,0.28410005029497865,0.0004743616484837957,0.03539969620909007,0.02413246831694149,0.06487026372601201,0.015654639470492504,0.12035435241791262,0.0018760983154922951,0.04158043462484058,0.016227506126438307
26,0.2254344400399203,0.0008257940101332253,0.2254344400399203,0.0003220951858670315,0.03750873805039364,0.025495104219583675,0.0339920462014408,0.008814810118961458,0.28410005029497853,0.0023432439707094972,0.03587598379830197,0.016570328283285307
