start_ver,end_ver,distance,lambda,original_num,original_days,num,days,P_w,l_w,e_w,matching_probability,aver_final_distance,aver_shared_distance,P_w_err,l_w_err,e_w_err,P_w_err_ratio,e_w_err_ratio,l_w_err_ratio
596,84,561.0173524653626,0.00357843137254902,73,29,73,29,0.9400102848460874,619.0088575098127,531.9016726518048,1.0,610.3132183908045,560.5624137931035,0.059989715153912604,8.695639119008206,28.660741141298672,0.059989715153912604,0.051128545967545,0.01424783022385743
348,68,998.9990887696773,0.00892156862745098,182,39,182,39,0.9850565331691696,1208.9747349252527,973.7821725706866,0.9820512820512819,1138.2120470085474,981.757885225885,0.0030052511178877417,70.76268791670532,7.975712655198436,0.003060177378527988,0.008123909952975183,0.06217003949543852
230,335,1612.0242146978567,0.01122549019607843,229,39,229,39,0.9158989349733392,1988.9466367137675,1265.3571624918186,0.9486541236541236,2001.5794895567399,1300.9123012543014,0.03275518868078442,12.632852842972397,35.555138762482784,0.034528062298000255,0.027330926710587306,0.006311441993128141
2,347,1792.5334785266662,0.004019607843137255,82,33,82,33,0.8214946229488979,2364.993318351113,938.5969193938067,0.7570707070707071,2117.111409090909,1093.6161515151514,0.06442391587819074,247.88190926020388,155.01923212134466,0.08509629982576228,0.14174921603578472,0.1170849621780862
313,314,644.3121899906138,0.00823529411764706,168,38,168,38,0.9936770138731056,670.2987917098017,649.729473180803,0.9962406015037596,663.0847368421053,647.0362687969925,0.0025635876306540073,7.2140548676964045,2.693204383810439,0.0025732615462413806,0.004162370045836536,0.01087953690813762
250,367,1475.505348257388,0.010147058823529412,207,37,207,37,0.5818348604978445,1663.6083513913538,764.5192690726982,0.7762831586360998,1627.6832960676488,1019.6220080615376,0.19444829813825526,35.92505532370501,255.1027389888394,0.25048630254956655,0.25019344126734766,0.022071280949123848
80,224,1628.3088221714083,0.021862745098039215,446,39,446,39,0.9278206554071641,1927.0789044305882,1558.065294595942,0.9588160205807263,1922.8815974655427,1602.8607430217623,0.030995365173562273,4.197306965045527,44.79544842582027,0.03232670763551625,0.027947186691571542,0.0021828213294972478
280,26,1016.3420015920532,0.005245098039215686,107,35,107,35,0.8125265442182591,1302.5700451838381,829.1105637348069,0.9023809523809524,1242.5335047619044,907.9970666666666,0.0898544081626933,60.03654042193375,78.8865029318597,0.09957480587950181,0.0868796891838634,0.048317844301058115
219,16,647.6448581600897,0.004166666666666667,85,34,85,34,0.9706848225256604,661.414667987282,634.8993932773518,0.9737394957983194,680.7119117647059,646.4499019607841,0.0030546732726590697,19.297243777423887,11.550508683432327,0.0031370538895053226,0.0178676006422119,0.028348620677720933
348,97,2195.4512038574776,0.005392156862745098,110,37,110,37,0.9989978285793808,2392.053944421228,1850.4767779532665,1.0,2390.1459028314025,1924.47956048906,0.0010021714206192023,1.9080415898256433,74.00278253579359,0.0010021714206192023,0.038453400106253956,0.0007982950277492887
552,558,760.3003366296853,0.001519607843137255,31,22,31,22,0.7006758077376898,856.3867765950682,536.475671919065,0.7727272727272729,848.907121212121,592.5931818181816,0.07205146498958315,7.479655382947271,56.11750989911661,0.09324307233946053,0.0946982037946135,0.008810923122269686
80,528,1416.8741015623486,0.01656862745098039,338,39,338,39,0.9741206588130986,1534.5743745080747,1181.660015599448,0.9845136345136344,1526.748150870497,1249.504494398764,0.010392975700535767,7.826223637577641,67.84447879931622,0.01055645684954893,0.05429710665583607,0.0051260737621430285
204,708,1755.1379984305051,0.004166666666666667,85,36,85,36,0.4312121524778873,1854.3870294376886,663.1970594573709,0.5680555555555555,1875.5891666666669,878.5400833333333,0.13684340307766824,21.202137228978245,215.34302387596244,0.24089792228831572,0.2451146259131555,0.011304254474160294
13,14,1399.4673766193664,0.0018627450980392157,38,21,38,21,0.4305089109655702,1499.6179787319345,518.1391471407571,0.5753968253968254,1420.3893650793655,748.4226587301587,0.14488791443125515,79.22861365256904,230.28351158940154,0.2518052030115607,0.30769179540892216,0.05577950356460327
131,558,1141.7052828914545,0.003970588235294117,81,34,81,34,0.904197167778122,1445.2204651606785,1122.1380847639225,0.8774509803921569,1286.8093235294118,1030.986848039216,0.026746187385965126,158.41114163126667,91.15123672470645,0.0304816884175245,0.0884116387110685,0.12310381867360318
10,582,2160.5308221309606,0.014362745098039215,293,39,293,39,0.996234840853486,2611.8759006262508,1712.320410943297,0.98992673992674,2567.621688509496,1744.293465049196,0.006308100926746052,44.25421211675484,31.973054105898882,0.00637229066790628,0.018330088799018183,0.01723548773357044
32,31,1194.4073335204464,0.006127450980392157,125,37,125,37,0.8092823819782169,1372.3989953186135,942.8888441222543,0.9236486486486486,1387.2793536036038,1057.2968445945946,0.1143662666704317,14.88035828499028,114.40800047234029,0.12382009851663418,0.10820802223826592,0.010726288289620247
313,33,2615.746010407278,0.010490196078431373,214,39,214,39,0.9978643547492204,2906.9731708270588,2031.0011236979333,0.9974358974358974,2904.2568029961494,2097.2533037005733,0.0004284573133229719,2.7163678309093484,66.25218000263999,0.0004295587460050361,0.03158997527181813,0.0009353056617125017
313,48,1030.8434985567196,0.011911764705882353,243,39,243,39,0.9958961950329528,1556.5635465870985,1075.968392332206,0.9871794871794872,1512.7634570479377,1076.071533649399,0.008716707853465566,43.80008953916081,0.103141317193149,0.008829911851562521,9.584987054099888e-05,0.028953693543492857
314,48,1356.1168456190242,0.020980392156862746,428,39,428,39,0.9989691306714016,1525.3333747594236,1249.3041372083087,1.0,1523.6879596502563,1260.2996863585624,0.001030869328598416,1.6454151091672884,10.995549150253737,0.001030869328598416,0.008724551207358978,0.0010798898151987582
