start_ver,end_ver,distance,lambda,original_num,original_days,num,days,P_w,l_w,e_w,matching_probability,aver_final_distance,aver_shared_distance,P_w_err,l_w_err,e_w_err,P_w_err_ratio,e_w_err_ratio,l_w_err_ratio
348,68,998.9990888,0.008921569,182,39,140,38,0.966413681,1224.344549,952.2510202,0.98768797,1149.897949,988.5620508,0.021274289,74.44659993,36.31103054,0.021539483,0.03673116,0.064741919
2,347,1792.533479,0.004019608,82,33,72,32,0.752103893,2331.136275,843.1419737,0.8359375,2168.294818,1125.832552,0.083833607,162.8414576,282.6905784,0.100286932,0.251094692,0.075101161
313,314,644.31219,0.008235294,168,38,130,37,0.986783089,673.6555684,645.5427132,0.996138996,673.2685586,650.4970013,0.009355907,0.387009825,4.954288108,0.00939217,0.007616158,0.000574822
280,26,1016.342002,0.005245098,107,35,76,33,0.752658117,1297.912004,767.1485374,0.818181818,1334.134192,833.3809343,0.065523702,36.22218822,66.23239699,0.080084524,0.079474337,0.027150333
80,224,1628.308822,0.021862745,446,39,324,39,0.889758279,1921.215601,1477.830216,0.962402509,1931.263884,1589.88652,0.07264423,10.04828318,112.056304,0.07548217,0.070480693,0.005202957
552,558,760.3003366,0.001519608,31,22,21,16,0.636749347,847.2395905,487.5534228,0.583333333,781.8683333,443.5083333,0.053416014,65.37125718,44.04508944,0.091570309,0.099310624,0.083609035
68,473,1436.347019,0.012941176,264,39,196,39,0.929280643,1508.201522,1298.600898,0.966880342,1503.580099,1362.64994,0.037599699,4.621422839,64.04904265,0.038887644,0.047003299,0.003073613
9,3,1657.714711,0.004852941,99,37,72,32,0.928825707,2028.354166,1290.80544,0.927083333,2005.462875,1346.190901,0.001742373,22.89129096,55.38546134,0.001879414,0.041142353,0.011414468
80,380,1274.8551,0.038627451,788,39,605,39,0.964515621,1360.607732,1092.222049,0.97418861,1342.44128,1129.423,0.009672988,18.16645163,37.20095081,0.009929277,0.032938014,0.013532399
13,14,1399.467377,0.001862745,38,21,32,20,0.354013055,1486.482153,423.4034297,0.616666667,1432.418,786.6541667,0.262653612,54.06415268,363.250737,0.425924776,0.461766749,0.037743279
131,558,1141.705283,0.003970588,81,34,59,33,0.853926079,1440.764524,1051.167417,0.818181818,1359.356677,947.4767273,0.035744261,81.40784764,103.6906899,0.04368743,0.109438772,0.05988704
204,708,1755.137998,0.004166667,85,36,71,33,0.363582854,1842.060706,557.7619826,0.513131313,1890.819848,766.475303,0.14954846,48.75914274,208.7133204,0.291442864,0.272302734,0.025787302
10,582,2160.530822,0.014362745,293,39,216,39,0.989951961,2613.71352,1682.508989,1,2601.169342,1745.228606,0.010048039,12.54417773,62.71961755,0.010048039,0.035937766,0.004822515
32,31,1194.407334,0.006127451,125,37,93,34,0.754804289,1372.869145,874.8312151,0.877941176,1425.36948,999.1229167,0.123136887,52.50033575,124.2917015,0.140256421,0.124400811,0.036832791
313,33,2615.74601,0.010490196,214,39,153,37,0.992315826,2927.339043,1970.1876,0.983333333,2895.435028,2041.438547,0.008982492,31.90401566,71.25094691,0.009134738,0.034902323,0.01101873
313,48,1030.843499,0.011911765,243,39,187,39,0.987092465,1573.873963,1051.612694,0.982905983,1559.027494,1075.086236,0.004186482,14.84646872,23.4735418,0.00425929,0.021834101,0.009522904
314,48,1356.116846,0.020980392,428,39,316,39,0.9956301,1539.999874,1226.44139,0.993131868,1512.347175,1229.879634,0.002498232,27.65269864,3.438243875,0.002515509,0.002795594,0.018284623
609,414,2265.622475,0.001029412,21,16,14,12,0.624236986,2593.296278,894.3604308,0.583333333,2519.425417,894.4595833,0.040903653,73.87086127,0.099152564,0.070120547,0.000110852,0.029320519
380,10,2392.085419,0.018627451,380,39,290,39,0.983954495,2579.985874,2161.696324,0.987626263,2604.871528,2134.184476,0.003671768,24.88565405,27.51184858,0.003717771,0.012891036,0.009553505
313,302,1655.136837,0.014166667,289,39,209,38,0.999478077,1748.657464,1480.932469,1,1734.565529,1504.771167,0.000521923,14.09193453,23.83869886,0.000521923,0.015842076,0.008124187
25,443,3217.592391,0.003872549,79,34,58,29,0.826634533,3372.097486,1554.525414,0.931034483,3382.151897,1907.067155,0.104399949,10.05441083,352.5417414,0.112133279,0.184860685,0.002972785
414,84,2639.981889,0.002647059,54,29,36,22,0.847169153,2985.273976,1445.394432,0.886363636,3031.951318,1588.779788,0.039194483,46.67734243,143.3853561,0.044219417,0.090248729,0.015395149
68,32,2832.782385,0.021470588,438,39,324,39,0.895998963,3135.818469,2153.282977,0.922812373,3059.77944,2264.102487,0.02681341,76.03902882,110.81951,0.029056188,0.048946331,0.024851147
230,335,1612.024215,0.01122549,229,39,167,38,0.880011633,1980.606325,1202.131684,0.906077694,2047.316994,1208.789165,0.026066061,66.71066918,6.657480473,0.02876802,0.005507561,0.032584436
394,609,597.3527272,0.002058824,42,23,33,20,0.846611382,754.2356725,549.4923051,0.908333333,765.18475,579.1378333,0.061721951,10.94907751,29.64552828,0.067950772,0.051189072,0.014309064
224,310,2697.710749,0.012352941,252,39,195,39,0.955344255,2972.64108,2047.432094,0.972649573,2971.713353,2077.577439,0.017305318,0.927727526,30.14534507,0.017791935,0.014509854,0.000312186
348,196,533.4587804,0.004362745,89,36,71,32,0.927318214,669.8146989,512.4984096,0.9453125,667.9689583,516.6801563,0.017994286,1.845740521,4.181746674,0.019035278,0.008093492,0.002763213
48,97,2559.241227,0.006176471,126,38,95,35,0.940087535,2870.900254,1733.461003,0.94047619,2674.494738,2043.677952,0.000388655,196.4055158,310.2169494,0.000413254,0.151793461,0.073436494
498,655,2323.169921,0.005784314,118,36,89,36,0.412987864,2493.441564,727.2721807,0.684920635,2617.422708,1230.313376,0.271932771,123.9811448,503.0411957,0.397028147,0.40887241,0.047367643
80,379,858.8608222,0.010294118,210,39,155,38,0.987624133,1008.856491,905.9651292,0.982894737,1056.988479,930.8711313,0.004729396,48.13198792,24.90600206,0.004811702,0.026755585,0.045536909
80,528,1416.874102,0.016568627,338,39,247,39,0.950485406,1551.764869,1146.324856,0.939468864,1508.670199,1206.549287,0.011016541,43.09466972,60.22443035,0.01172635,0.049914604,0.028564672
314,471,1677.594839,0.028431373,580,39,418,39,0.986312484,1891.364736,1483.661853,0.992490842,1897.707341,1536.631448,0.006178358,6.34260503,52.96959505,0.006225104,0.034471242,0.003342246
473,347,2009.254561,0.012058824,246,38,179,38,0.89661123,2250.053333,1486.883882,0.875417711,2167.550739,1492.405967,0.021193519,82.50259385,5.522084497,0.024209607,0.003700122,0.038062589
27,9,4294.321815,0.046715686,953,39,708,39,0.999811222,4358.554206,3958.68352,0.998974359,4365.223249,3964.472966,0.000836863,6.669042511,5.789446652,0.000837722,0.001460332,0.001527767
535,439,3423.411641,0.001372549,28,22,22,19,0.905620024,3883.781984,1743.582666,1,3956.699737,1901.765,0.094379976,72.91775276,158.1823338,0.094379976,0.083176593,0.018428933
353,586,1654.304348,0.004166667,85,36,65,32,0.861556578,1862.527364,1218.145114,0.925,1708.50275,1292.771859,0.063443422,154.0246141,74.62674541,0.068587483,0.057726152,0.090151809
663,224,1734.811635,0.011519608,235,39,178,39,0.907926826,1904.255655,1466.479995,0.967521368,1873.284302,1594.951947,0.059594542,30.9713533,128.4719523,0.061595065,0.080549105,0.016533184
313,522,3015.152169,0.012058824,246,39,190,39,0.984703437,3334.328619,2346.477072,0.995726496,3309.088761,2362.826898,0.011023059,25.23985801,16.34982622,0.011070368,0.006919604,0.007627435
313,3,1898.698083,0.00754902,154,38,119,37,0.970159727,2186.855363,1544.289496,0.968468468,2204.499014,1523.264051,0.001691259,17.64365054,21.02544469,0.001746323,0.013802889,0.008003474
663,379,3590.055493,0.006666667,136,39,98,38,0.921544269,3959.655545,2145.365418,0.934649123,3934.070829,2385.999491,0.013104854,25.58471654,240.6340729,0.014021148,0.100852525,0.00650337
311,95,3504.576386,0.005637255,115,39,83,38,0.965369846,3869.496676,2432.66692,1,3820.942526,2699.347939,0.034630154,48.55414964,266.6810189,0.034630154,0.098794607,0.012707375
236,596,2111.987932,0.008137255,166,37,134,36,0.683768538,2328.488801,951.2024917,0.762728475,2351.875823,1181.56947,0.078959937,23.3870214,230.3669787,0.103522996,0.194966935,0.009943986
10,528,2556.604578,0.003872549,79,32,59,28,0.962838536,2900.895629,2044.100203,0.976190476,2784.294565,2226.253488,0.013351941,116.6010637,182.1532852,0.013677598,0.08182055,0.041878135
