start_ver,end_ver,distance,lambda,original_num,original_days,num,days,P_w,l_w,e_w,matching_probability,aver_final_distance,aver_shared_distance,P_w_err,l_w_err,e_w_err,P_w_err_ratio,e_w_err_ratio,l_w_err_ratio
313,314,644.31219,0.008235294,168,38,45,25,0.909452573,688.0391473,596.1591957,1,699.19,671.75,0.090547427,11.15085271,75.59080431,0.090547427,0.112528179,0.015948244
348,68,998.9990888,0.008921569,182,39,57,30,0.783428769,1237.585841,763.4823691,0.876666667,1220.703344,877.5889222,0.093237898,16.88249616,114.1065532,0.106355017,0.130022782,0.013830138
552,558,760.3003366,0.001519608,31,22,9,8,0.402416163,809.6311667,308.016902,0.5,760.3,380.15,0.097583837,49.33116673,72.13309799,0.195167674,0.189749041,0.064883818
313,302,1655.136837,0.014166667,289,39,69,32,0.958512056,1825.388898,1313.325391,0.984375,1808.165927,1340.371589,0.025862944,17.22297114,27.04619741,0.026273467,0.020178134,0.009525105
313,48,1030.843499,0.011911765,243,39,77,34,0.857957077,1570.046712,861.8697192,0.88627451,1625.50475,869.7687108,0.028317433,55.45803818,7.898991572,0.031951085,0.009081715,0.034117426
68,32,2832.782385,0.021470588,438,39,103,37,0.621818146,3093.33446,1406.295668,0.624324324,3007.564505,1497.468574,0.002506179,85.76995557,91.17290602,0.004014225,0.060884687,0.028518077
131,558,1141.705283,0.003970588,81,34,20,16,0.588789651,1368.738549,706.0814734,0.625,1171.328125,699.831875,0.036210349,197.4104235,6.249598412,0.057936559,0.008930143,0.168535545
230,335,1612.024215,0.01122549,229,39,56,30,0.709323289,1917.158192,950.5426416,0.755555556,1916.876333,1020.192333,0.046232266,0.281858527,69.64969169,0.061189764,0.068271138,0.000147041
313,123,1734.405056,0.009019608,184,39,44,28,0.977348509,1958.681585,1341.40124,1,1825.849226,1325.020417,0.022651491,132.8323584,16.38082297,0.022651491,0.012362695,0.072751001
84,586,1729.408533,0.005196078,106,34,28,21,0.612870694,1966.596104,852.1902702,0.738095238,1996.316984,998.4863492,0.125224544,29.72088006,146.296079,0.16965906,0.146517856,0.014887856
663,224,1734.811635,0.011519608,235,39,64,31,0.660980967,1891.689705,1001.489352,0.755376344,1801.24672,1145.374194,0.094395377,90.44298473,143.8848419,0.124964699,0.125622563,0.050211325
414,84,2639.981889,0.002647059,54,29,14,12,0.535385141,2877.988426,813.4609769,0.541666667,2694.0325,590.7658333,0.006281526,183.9559257,222.6951435,0.011596663,0.376960093,0.068282742
473,347,2009.254561,0.012058824,246,38,61,29,0.662969419,2236.180153,1031.9948,0.732758621,2164.39069,1173.995776,0.069789202,71.78946302,142.0009762,0.095241734,0.12095527,0.03316844
80,224,1628.308822,0.021862745,446,39,109,38,0.675222485,1880.634075,1074.516808,0.770614035,1856.576548,1178.673614,0.09539155,24.0575263,104.1568061,0.123786417,0.08836781,0.012958004
353,586,1654.304348,0.004166667,85,36,16,12,0.593025969,1822.622909,794.5158904,0.541666667,1868.840833,767.5866667,0.051359302,46.21792458,26.92922377,0.094817173,0.035082975,0.024730798
471,307,3669.751649,0.002352941,48,22,11,8,0.873387868,4078.128969,1683.269926,1,3862.58375,2474.765,0.126612132,215.5452189,791.4950739,0.126612132,0.319826357,0.055803377
131,219,1814.439731,0.005539216,113,38,26,17,0.770759858,1897.34599,1068.651634,0.823529412,1872.775882,1202.328725,0.052769553,24.57010813,133.6770912,0.064077315,0.111181816,0.01311962
32,31,1194.407334,0.006127451,125,37,32,19,0.520468325,1334.712487,595.8935608,0.543859649,1318.321316,604.2494298,0.023391324,16.39117143,8.355869038,0.043009854,0.01382851,0.012433366
313,522,3015.152169,0.012058824,246,39,72,35,0.852870682,3374.521927,1801.693843,0.89047619,3393.043452,2091.80881,0.037605509,18.52152523,290.1149665,0.042230785,0.138690957,0.005458676
